symbol,live_list,system,param,window,period,n_trades,win_rate,avg_r,total_r,max_dd_r,insufficient_data
DIA,False,B,RSI<=35,wf_1,test,8,50.0,-0.24,-1.94,-1.0,True
DIA,False,B_atr_stop,ATRx1.0,wf_1,train,3,33.3,-0.62,-1.86,-1.0,True
DIA,False,B_atr_stop,ATRx1.0,wf_1,test,8,37.5,-0.35,-2.76,-2.0,True
DIA,False,B_atr_stop,ATRx1.5,wf_1,train,3,66.7,-0.03,-0.1,0.0,True
DIA,False,B_atr_stop,ATRx1.5,wf_1,test,8,50.0,-0.22,-1.75,-1.0,True
DIA,False,B_atr_stop,ATRx2.0,wf_1,train,3,66.7,-0.11,-0.33,0.0,True
DIA,False,B_atr_stop,ATRx2.0,wf_1,test,8,62.5,-0.11,-0.91,-1.0,True
DIA,False,B_bollinger,ATRx1.0,wf_1,train,2,0.0,-1.0,-2.0,-1.0,True
DIA,False,B_bollinger,ATRx1.0,wf_1,test,3,66.7,1.47,4.41,-1.0,True
DIA,False,B_bollinger,ATRx1.5,wf_1,train,2,50.0,-0.1,-0.2,0.0,True
DIA,False,B_bollinger,ATRx1.5,wf_1,test,3,66.7,0.5,1.51,-2.09,True
DIA,False,B_bollinger,ATRx2.0,wf_1,train,2,50.0,-0.2,-0.4,0.0,True
DIA,False,B_bollinger,ATRx2.0,wf_1,test,3,66.7,0.38,1.13,-1.57,True
DIA,False,A_relaxed,no_macd_filter,wf_1,train,2,50.0,-0.07,-0.13,-0.66,True
DIA,False,A_relaxed,no_macd_filter,wf_1,test,2,0.0,-0.22,-0.44,-0.16,True
DIA,False,B_bollinger_relaxed,no_adx_filter,wf_1,train,3,66.7,0.41,1.22,-1.0,True
DIA,False,B_bollinger_relaxed,no_adx_filter,wf_1,test,3,66.7,0.38,1.13,-1.57,True
DIA,False,A,ADX>=20,wf_2,train,4,50.0,-0.11,-0.45,-0.48,True
DIA,False,A,ADX>=20,wf_2,test,1,0.0,-0.4,-0.4,0.0,True
DIA,False,A,ADX>=25,wf_2,train,4,25.0,-0.14,-0.57,-1.09,True
DIA,False,A,ADX>=25,wf_2,test,0,,,,,True
DIA,False,A,ADX>=30,wf_2,train,2,50.0,-0.28,-0.57,-0.79,True
DIA,False,A,ADX>=30,wf_2,test,0,,,,,True
DIA,False,B,RSI<=25,wf_2,train,11,45.5,-0.35,-3.81,-3.95,True
DIA,False,B,RSI<=25,wf_2,test,3,33.3,-0.6,-1.21,0.0,True
DIA,False,B,RSI<=30,wf_2,train,11,45.5,-0.35,-3.81,-3.95,True
DIA,False,B,RSI<=30,wf_2,test,3,33.3,-0.6,-1.21,0.0,True
DIA,False,B,RSI<=35,wf_2,train,11,45.5,-0.35,-3.81,-3.95,True
DIA,False,B,RSI<=35,wf_2,test,3,33.3,-0.6,-1.21,0.0,True
DIA,False,B_atr_stop,ATRx1.0,wf_2,train,11,36.4,-0.42,-4.62,-4.77,True
DIA,False,B_atr_stop,ATRx1.0,wf_2,test,3,33.3,-1.03,-3.08,-1.0,True
DIA,False,B_atr_stop,ATRx1.5,wf_2,train,11,54.5,-0.17,-1.85,-2.18,True
DIA,False,B_atr_stop,ATRx1.5,wf_2,test,3,33.3,-0.8,-2.39,-1.0,True
DIA,False,B_atr_stop,ATRx2.0,wf_2,train,11,63.6,-0.11,-1.24,-1.0,True
DIA,False,B_atr_stop,ATRx2.0,wf_2,test,3,33.3,-0.68,-2.04,-1.0,True
DIA,False,B_bollinger,ATRx1.0,wf_2,train,5,40.0,0.48,2.41,-1.0,True
DIA,False,B_bollinger,ATRx1.0,wf_2,test,2,0.0,-1.0,-2.0,-1.0,True
DIA,False,B_bollinger,ATRx1.5,wf_2,train,5,60.0,0.26,1.31,-2.09,True
DIA,False,B_bollinger,ATRx1.5,wf_2,test,2,0.0,-1.0,-2.0,-1.0,True
DIA,False,B_bollinger,ATRx2.0,wf_2,train,5,60.0,0.15,0.73,-1.57,True
DIA,False,B_bollinger,ATRx2.0,wf_2,test,2,0.0,-1.0,-2.0,-1.0,True
DIA,False,A_relaxed,no_macd_filter,wf_2,train,4,25.0,-0.14,-0.57,-1.09,True
DIA,False,A_relaxed,no_macd_filter,wf_2,test,1,0.0,,0.0,,True
DIA,False,B_bollinger_relaxed,no_adx_filter,wf_2,train,6,66.7,0.39,2.35,-1.57,True
DIA,False,B_bollinger_relaxed,no_adx_filter,wf_2,test,2,0.0,-1.0,-2.0,-1.0,True
DIA,False,A,ADX>=20,wf_3,train,5,40.0,-0.17,-0.85,-0.72,True
DIA,False,A,ADX>=20,wf_3,test,3,0.0,-0.67,-2.02,-1.25,True
DIA,False,A,ADX>=25,wf_3,train,4,25.0,-0.14,-0.57,-1.09,True
DIA,False,A,ADX>=25,wf_3,test,2,0.0,-0.66,-1.31,-0.54,True
DIA,False,A,ADX>=30,wf_3,train,2,50.0,-0.28,-0.57,-0.79,True
DIA,False,A,ADX>=30,wf_3,test,2,0.0,-0.69,-1.39,-0.61,True
DIA,False,B,RSI<=25,wf_3,train,14,42.9,-0.39,-5.02,-5.2,True
DIA,False,B,RSI<=25,wf_3,test,3,0.0,-1.0,-3.0,-2.0,True
DIA,False,B,RSI<=30,wf_3,train,14,42.9,-0.39,-5.02,-5.2,True
DIA,False,B,RSI<=30,wf_3,test,3,0.0,-1.0,-3.0,-2.0,True
DIA,False,B,RSI<=35,wf_3,train,14,42.9,-0.39,-5.02,-5.2,True
DIA,False,B,RSI<=35,wf_3,test,3,0.0,-1.0,-3.0,-2.0,True
DIA,False,B_atr_stop,ATRx1.0,wf_3,train,14,35.7,-0.55,-7.7,-7.29,True
DIA,False,B_atr_stop,ATRx1.0,wf_3,test,3,0.0,-1.0,-3.0,-2.0,True
DIA,False,B_atr_stop,ATRx1.5,wf_3,train,14,50.0,-0.3,-4.24,-4.44,True
DIA,False,B_atr_stop,ATRx1.5,wf_3,test,3,66.7,-0.02,-0.07,0.0,True
DIA,False,B_atr_stop,ATRx2.0,wf_3,train,14,57.1,-0.23,-3.28,-3.26,True
DIA,False,B_atr_stop,ATRx2.0,wf_3,test,3,66.7,-0.1,-0.31,0.0,True
DIA,False,B_bollinger,ATRx1.0,wf_3,train,7,28.6,0.06,0.41,-3.0,True
DIA,False,B_bollinger,ATRx1.0,wf_3,test,2,0.0,-1.0,-2.0,-1.0,True
DIA,False,B_bollinger,ATRx1.5,wf_3,train,7,42.9,-0.1,-0.69,-4.09,True
DIA,False,B_bollinger,ATRx1.5,wf_3,test,2,50.0,-0.05,-0.1,0.0,True
DIA,False,B_bollinger,ATRx2.0,wf_3,train,7,42.9,-0.18,-1.27,-3.57,True
DIA,False,B_bollinger,ATRx2.0,wf_3,test,2,50.0,-0.04,-0.07,0.0,True
DIA,False,A_relaxed,no_macd_filter,wf_3,train,5,20.0,-0.14,-0.57,-1.09,True
DIA,False,A_relaxed,no_macd_filter,wf_3,test,3,33.3,0.28,0.85,-0.54,True
DIA,False,B_bollinger_relaxed,no_adx_filter,wf_3,train,8,50.0,0.04,0.35,-3.57,True
DIA,False,B_bollinger_relaxed,no_adx_filter,wf_3,test,5,60.0,-0.02,-0.08,-1.07,True
DIA,False,A,ADX>=20,wf_4,train,8,25.0,-0.36,-2.87,-2.74,True
