seed,final_equity,max_drawdown_pct
174,8015.0646348204855,-42.32133828974682
175,5437.753132945694,-33.674795205574696
176,4866.231744036337,-39.65210626900246
177,6941.164158007809,-42.19878507198711
178,9762.967597322542,-40.63973579241533
179,10513.019517430395,-40.029318670598066
180,7179.107273309682,-30.952751967682847
181,5447.591699783749,-40.25025075684825
182,11154.106896672514,-31.55109298503247
183,5492.095629376599,-36.741741823343524
184,5544.237372705202,-43.26349935754513
185,6552.152325513832,-47.289496873641035
186,6383.402540728482,-37.50937290277072
187,7093.488698776748,-36.477685831209605
188,4963.635108651798,-37.79914010050277
189,4371.712549662007,-43.53936124755119
190,11707.053564589969,-35.493565441356935
191,6428.324987585859,-40.047433094367065
192,10741.066882694815,-37.383367687218076
193,6316.214460016898,-45.32782113897144
194,6587.591035651867,-40.20288755346067
195,8610.242264341361,-42.14618644893133
196,5511.808944869771,-49.234770999342956
197,4450.837674231488,-42.97634334260877
198,6305.620103406835,-38.920711672710866
199,6635.766987960976,-41.67453894979559
200,7674.907190537423,-43.527280889784755
201,7752.5626339746495,-37.87590361156122
202,5728.565935861266,-39.26347771025804
203,6188.259140320623,-40.200888590109095
204,6894.245362597984,-38.884523494722615
205,9761.522172845633,-36.35352693552125
206,4969.416463565167,-38.93311379720485
207,6163.374072371485,-38.32024013630334
208,10519.103927890965,-37.23297357346078
209,6669.239653674017,-37.50657143172943
210,6972.18461791395,-41.91280736269179
211,5503.459625472579,-38.87970520948889
212,7766.300491514045,-44.529792875979936
213,9233.973664573112,-33.368801812374436
214,5056.851815173582,-39.411506028746686
215,6532.336173768867,-38.02756922526333
216,5698.843117399072,-35.52781089739662
217,6413.428250513107,-42.769325988623535
218,5929.708652061732,-37.314752305902076
219,3758.1892757245964,-39.37940913408629
220,6148.0921642817275,-39.46167819238627
221,6029.717924651046,-38.36804544329783
222,4452.243199195056,-35.92648077090293
223,6959.847211210804,-42.102777680459845
224,5579.304721043574,-40.87229363313096
225,8752.112222409321,-42.92397208100027
226,8523.376487639534,-42.221763253231885
227,9608.325847205946,-41.05472810939458
228,8515.636201536496,-34.50759417194848
229,3335.280342786752,-42.81647043570093
230,7037.500670405007,-43.0001062046088
231,8947.98942176051,-41.47938401860768
232,9850.256803016882,-44.507882737276766
233,5425.945081206706,-39.982938143185635
234,9187.206041885527,-37.24163985735782
235,7938.575743687474,-41.50042875157113
236,5883.432944671924,-42.28616129174919
237,4591.321049878778,-38.03228425820178
238,5602.831733214399,-39.81463785087974
239,11087.378978593146,-38.102969391370486
240,9081.35367312098,-42.81401676273074
241,3872.94380189602,-44.56251267265217
242,7236.5390625692025,-41.61919503763172
243,7157.102420767711,-39.3781875478119
244,7126.791542288655,-39.43538804478298
245,5348.465094061489,-40.4445519918724
246,9244.47056922205,-41.67184500209698
247,8464.47333245286,-38.826644143125996
248,4817.539171595428,-45.630830795763956
249,7756.632171309106,-34.08282053640302
250,10107.630193692923,-36.5082876863738
251,6733.214725792729,-36.52269661759118
252,5708.376689962957,-42.23590791153944
253,5657.726690668055,-44.23260907025863
254,9193.029892684737,-38.55054240617632
255,9741.008539238857,-47.129834568900485
256,7036.612305031985,-40.209164614302665
257,8962.765175855986,-41.82765474502175
258,4423.634866770169,-40.37747662014457
259,8357.12586074997,-38.50140473446636
260,12440.32999972649,-35.612966616508665
261,5603.6445682844205,-40.72770205349362
262,5336.508261154538,-37.015211669232556
263,8325.246317658572,-48.57378202098483
264,4452.592298887246,-42.79033721323022
265,8127.73105784155,-44.617194586157524
266,4040.629931146853,-47.19063523736518
267,5684.999297946865,-30.37199557482791
268,10940.538098213765,-46.75297376183483
269,7445.112932508884,-43.92115082225082
270,9306.579891385569,-37.62618213607588
271,8195.313424765547,-36.851200377730905
272,6363.142335618162,-40.65264162619426
273,4368.324598224573,-37.43075611430701
274,6176.483234546617,-40.06798981766941
275,4574.375063722968,-46.64194958294899
276,4311.639711307755,-49.518562057831616
277,5033.40840371577,-46.190886942195135
278,4695.301659860292,-46.644726124756566
279,6670.63114817486,-38.051547227228525
280,4604.322820007571,-46.197991221851204
281,9408.29872568257,-39.096006683684585
282,4436.830801754963,-37.17394313117472
283,4208.213567744532,-41.170690612704334
284,10653.673427458973,-41.620145365337905
285,9080.37810811289,-50.439358546183946
286,7658.692968164591,-37.710001229878756
287,7943.935944399542,-44.63520387882875
288,4561.263467837338,-40.09663453946343
289,8352.032800285466,-39.12276175527893
290,4576.940004164843,-51.50720812719866
291,3722.976473630245,-45.04482397587937
292,6424.294006430436,-39.56320230068807
293,6017.677682268696,-37.08626935510216
294,5538.958482483386,-48.869383135866954
295,13299.938821312362,-37.57864829994587
296,5121.436136684626,-37.88048518825328
297,4886.936311797638,-45.10630982783263
298,6700.456278769031,-42.82644724145569
299,11351.517234280935,-38.2840735779583
