date,close
2020-06-04,610.18
2020-06-05,609.27
2020-06-08,608.88
2020-06-09,608.73
2020-06-10,611.12
2020-06-11,610.91
2020-06-15,610.92
2020-06-16,612.63
2020-06-17,613.87
2020-06-18,614.71
2020-06-19,616.36
2020-06-22,614.59
2020-06-23,613.9
2020-06-25,612.04
2020-06-26,612.49
2020-06-29,612.36
2020-06-30,608.44
2020-07-02,609.16
2020-07-03,605.83
2020-07-06,605.23
2020-07-07,607.61
2020-07-08,609.76
2020-07-09,611.81
2020-07-10,611.13
2020-07-13,612.04
2020-07-14,612.25
2020-07-15,612.08
2020-07-16,611.52
2020-07-17,612.01
2020-07-20,613.09
2020-07-21,614.25
2020-07-22,614.35
2020-07-23,614.39
2020-07-24,613.71
2020-07-27,614.03
2020-07-28,613.08
2020-07-29,612.76
2020-07-30,610.37
2020-07-31,611.09
2020-08-03,612.46
2020-08-04,612.85
2020-08-05,613.14
2020-08-06,612.54
2020-08-07,612.22
2020-08-10,612.61
2020-08-11,612.94
2020-08-12,612.45
2020-08-13,611.92
2020-08-14,610.78
2020-08-17,606.7
2020-08-18,606.36
2020-08-19,608.91
2020-08-20,608.09
2020-08-21,606.54
2020-08-24,607.6
2020-08-25,607.25
2020-08-26,606.34
2020-08-27,608.05
2020-08-28,608.85
2020-08-31,609.98
2020-09-01,610.68
2020-09-02,609.49
2020-09-03,607.45
2020-09-04,608.22
2020-09-07,608.1
2020-09-08,606.76
2020-09-09,607.47
2020-09-10,608.66
2020-09-11,608.44
2020-09-14,608.32
2020-09-15,608.7
2020-09-16,608.75
2020-09-17,608.72
2020-09-18,608.71
2020-09-21,607.82
2020-09-22,606.87
2020-09-23,606.36
2020-09-24,605.8
2020-09-25,606.24
2020-09-28,605.85
2020-09-29,605.9
2020-09-30,607.55
2020-10-01,609.36
2020-10-02,609.29
2020-10-05,610.01
2020-10-06,611.03
2020-10-07,611.77
2020-10-08,613.99
2020-10-09,614.43
2020-10-12,614.94
2020-10-13,615.25
2020-10-14,615.14
2020-10-15,613.86
2020-10-16,613.98
2020-10-19,615.34
2020-10-20,615.28
2020-10-21,615.8
2020-10-22,615.56
2020-10-23,616.07
2020-10-26,615.97
2020-10-27,615.51
2020-10-28,613.71
2020-10-29,612.6
2020-10-30,612.17
2020-11-02,609.1
2020-11-03,610.13
2020-11-05,615.95
2020-11-06,617.97
2020-11-09,620.16
2020-11-10,619.68
2020-11-11,619.64
2020-11-12,619.7
2020-11-13,620.35
2020-11-16,621.06
2020-11-17,620.83
2020-11-18,619.88
2020-11-19,620.62
2020-11-20,620.9
2020-11-23,622.04
2020-11-24,621.33
2020-11-25,621.41
2020-11-26,620.98
2020-11-27,621.13
2020-11-30,620.85
2020-12-01,621.02
2020-12-02,620.97
2020-12-03,621.13
2020-12-04,621.54
2020-12-07,622.07
2020-12-08,622.43
2020-12-09,622.17
2020-12-10,621.6
2020-12-11,621.29
2020-12-14,621.59
2020-12-15,621.38
2020-12-16,621.25
2020-12-17,621.83
2020-12-18,621.25
2020-12-21,619.54
2020-12-22,619.05
2020-12-23,618.53
2020-12-24,618.73
2020-12-25,619.77
2020-12-28,619.36
2020-12-29,620.39
2020-12-30,620.45
2021-01-04,621.74
2021-01-05,622.42
2021-01-06,622.72
2021-01-08,622.8
2021-01-11,621.15
2021-01-12,620.21
2021-01-13,619.69
2021-01-14,619.31
2021-01-15,616.79
2021-01-18,616.21
2021-01-19,616.83
2021-01-20,617.46
2021-01-21,616.5
2021-01-22,614.06
2021-01-25,614.54
2021-01-26,614.84
2021-01-27,614.55
2021-01-28,614.04
2021-01-29,614.93
2021-02-01,615.52
2021-02-02,615.43
2021-02-03,613.97
2021-02-04,615.26
2021-02-05,616.48
2021-02-08,617.99
2021-02-09,616.36
2021-02-10,615.16
2021-02-11,613.47
2021-02-12,611.04
2021-02-15,610.18
2021-02-16,607.9
2021-02-17,607.34
2021-02-18,608.57
2021-02-19,606.91
2021-02-20,607.01
2021-02-22,606.93
2021-02-24,607.67
2021-02-25,606.14
2021-02-26,603.73
2021-03-01,605.1
2021-03-02,605.77
2021-03-03,607.63
2021-03-04,610.77
2021-03-05,607.62
2021-03-09,608.2
2021-03-10,606.8
2021-03-11,605.03
2021-03-12,604.34
2021-03-15,604.65
2021-03-16,603.85
2021-03-17,602.94
2021-03-18,601.52
2021-03-19,599.58
2021-03-22,597.8
2021-03-23,593.85
2021-03-24,595.32
2021-03-25,597.26
2021-03-26,600.16
2021-03-29,601.29
2021-03-30,599.61
2021-03-31,600.12
2021-04-01,599.31
2021-04-02,599.62
2021-04-05,599.76
2021-04-06,598.86
2021-04-07,594.69
2021-04-08,594.94
2021-04-09,593.94
2021-04-12,595.14
2021-04-13,595.25
2021-04-14,601.01
2021-04-15,598.14
2021-04-16,604.18
2021-04-19,601.93
2021-04-20,601.15
2021-04-21,602.1
2021-04-22,603.93
2021-04-23,604.38
2021-04-26,605.43
2021-04-27,604.2
2021-04-28,603.05
2021-04-29,604.34
2021-04-30,603.9
2021-05-04,605.09
2021-05-05,605.63
2021-05-06,606.13
2021-05-07,605.67
2021-05-10,606.98
2021-05-11,605.63
2021-05-12,604.67
2021-05-13,602.99
2021-05-14,604.55
2021-05-17,604.79
2021-05-18,604.67
2021-05-19,604.3
2021-05-20,604.96
2021-05-21,605.36
2021-05-24,605.36
2021-05-25,605.05
2021-05-26,605.33
2021-05-27,605.62
2021-05-28,605.35
2021-05-31,605.25
2021-06-01,604.69
2021-06-02,604.58
2021-06-03,604.24
2021-06-04,603.16
2021-06-07,603.07
2021-06-08,601.54
2021-06-09,600.65
2021-06-10,601.73
2021-06-11,604.36
2021-06-14,604.74
2021-06-15,604.04
2021-06-16,602.72
2021-06-17,603.12
2021-06-18,605.44
2021-06-21,605.04
2021-06-22,605.01
2021-06-23,605.56
2021-06-24,606.52
2021-06-25,606.16
2021-06-28,605.41
2021-06-29,603.74
2021-06-30,603.89
2021-07-01,604.39
2021-07-02,603.99
2021-07-05,604.73
2021-07-06,604.62
2021-07-07,604.51
2021-07-08,603.64
2021-07-09,604.35
2021-07-12,604.16
2021-07-13,604.13
2021-07-14,604.07
2021-07-15,604.98
2021-07-16,605.18
2021-07-19,605.0
2021-07-20,605.91
2021-07-21,608.02
2021-07-22,610.29
2021-07-23,611.02
2021-07-26,611.56
2021-07-27,612.69
2021-07-28,613.76
2021-07-29,613.89
2021-07-30,614.19
2021-08-02,614.02
2021-08-03,613.68
2021-08-04,612.89
2021-08-05,613.36
2021-08-06,612.78
2021-08-09,612.03
2021-08-10,611.71
2021-08-11,611.38
2021-08-12,611.59
2021-08-13,611.87
2021-08-16,613.85
2021-08-17,614.81
2021-08-18,614.73
2021-08-19,613.55
2021-08-20,613.66
2021-08-23,613.76
2021-08-24,613.33
2021-08-25,613.11
2021-08-26,611.97
2021-08-27,612.95
2021-08-30,613.8
2021-08-31,614.22
2021-09-01,614.42
2021-09-02,613.36
2021-09-03,613.78
2021-09-06,613.81
2021-09-07,613.25
2021-09-08,613.12
2021-09-09,613.28
2021-09-10,613.79
2021-09-13,614.48
2021-09-14,614.23
2021-09-15,613.49
2021-09-16,613.55
2021-09-17,613.2
2021-09-20,611.03
2021-09-21,611.46
2021-09-22,611.75
2021-09-23,610.06
2021-09-24,608.86
2021-09-27,607.61
2021-09-28,608.15
2021-09-29,608.63
2021-09-30,607.8
2021-10-01,606.63
2021-10-04,605.57
2021-10-05,602.35
2021-10-06,600.29
2021-10-07,602.74
2021-10-08,605.05
2021-10-11,605.1
2021-10-12,604.65
2021-10-13,605.06
2021-10-14,606.21
2021-10-15,606.43
2021-10-18,604.71
2021-10-19,604.73
2021-10-20,603.92
2021-10-21,602.35
2021-10-22,597.62
2021-10-25,592.53
2021-10-26,590.13
2021-10-27,591.09
2021-10-28,586.38
2021-10-29,586.73
2021-11-01,584.68
2021-11-02,584.05
2021-11-03,584.86
2021-11-05,585.06
2021-11-08,587.03
2021-11-09,589.36
2021-11-10,591.57
2021-11-11,592.35
2021-11-12,590.35
2021-11-15,589.28
2021-11-16,586.89
2021-11-17,587.17
2021-11-18,584.66
2021-11-19,583.31
2021-11-22,578.79
2021-11-23,576.2
2021-11-24,578.37
2021-11-25,580.72
2021-11-26,580.18
2021-11-29,584.47
2021-11-30,584.3
2021-12-01,585.04
2021-12-02,583.11
2021-12-03,584.4
2021-12-06,583.26
2021-12-07,580.62
2021-12-08,581.37
2021-12-09,582.03
2021-12-10,582.68
2021-12-13,582.67
2021-12-14,581.48
2021-12-15,581.79
2021-12-16,583.22
2021-12-17,584.4
2021-12-20,587.31
2021-12-21,587.37
2021-12-22,587.78
2021-12-23,588.24
2021-12-24,588.58
2021-12-27,588.93
2021-12-28,589.07
2021-12-29,589.01
2021-12-30,589.78
2022-01-03,592.16
2022-01-04,592.73
2022-01-05,593.34
2022-01-06,590.38
2022-01-10,587.35
2022-01-11,584.12
2022-01-12,582.58
2022-01-13,577.67
2022-01-14,566.71
2022-01-17,563.29
2022-01-18,562.44
2022-01-19,568.07
2022-01-20,566.88
2022-01-21,565.49
2022-01-24,558.59
2022-01-25,557.65
2022-01-26,556.9
2022-01-27,559.99
2022-01-28,563.66
2022-01-31,564.69
2022-02-01,565.85
2022-02-02,567.46
2022-02-03,566.54
2022-02-04,567.53
2022-02-07,567.65
2022-02-08,567.87
2022-02-09,568.21
2022-02-10,567.27
2022-02-11,561.56
2022-02-14,551.03
2022-02-15,555.84
2022-02-16,560.73
2022-02-17,558.27
2022-02-18,558.13
2022-02-21,547.08
2022-02-22,534.8
2022-02-24,461.02
2022-02-25,479.03
2022-03-21,455.2
2022-03-22,477.14
2022-03-23,474.42
2022-03-24,476.55
2022-03-25,480.35
2022-03-28,479.01
2022-03-29,486.38
2022-03-30,507.42
2022-03-31,519.32
2022-04-01,520.38
2022-04-04,514.35
2022-04-05,513.86
2022-04-06,512.59
2022-04-07,512.55
2022-04-08,529.21
2022-04-11,540.63
2022-04-12,540.48
2022-04-13,543.31
2022-04-14,546.75
2022-04-15,543.86
2022-04-18,547.87
2022-04-19,555.45
2022-04-20,559.89
2022-04-21,565.64
2022-04-22,564.7
2022-04-25,561.06
2022-04-26,563.05
2022-04-27,562.65
2022-04-28,561.68
2022-04-29,563.04
2022-05-04,561.58
2022-05-05,560.1
2022-05-06,559.47
2022-05-11,559.78
2022-05-12,559.1
2022-05-13,558.75
2022-05-16,560.05
2022-05-17,560.36
2022-05-18,560.01
2022-05-19,561.61
2022-05-20,563.13
2022-05-23,563.21
2022-05-24,563.44
2022-05-25,574.47
2022-05-26,581.11
2022-05-27,579.89
2022-05-30,579.11
2022-05-31,579.27
2022-06-01,584.45
2022-06-02,591.13
2022-06-03,591.67
2022-06-06,594.34
2022-06-07,594.84
2022-06-08,594.93
2022-06-09,596.84
2022-06-10,597.85
2022-06-14,594.95
2022-06-15,594.92
2022-06-16,598.09
2022-06-17,598.0
2022-06-20,599.3
2022-06-21,600.13
2022-06-22,600.55
2022-06-23,603.0
2022-06-24,605.39
2022-06-27,608.68
2022-06-28,609.68
2022-06-29,609.27
2022-06-30,607.78
2022-07-01,606.49
2022-07-04,604.37
2022-07-05,602.06
2022-07-06,602.4
2022-07-07,604.89
2022-07-08,605.75
2022-07-11,605.53
2022-07-12,604.49
2022-07-13,603.94
2022-07-14,604.21
2022-07-15,604.55
2022-07-18,604.16
2022-07-19,604.05
2022-07-20,604.62
2022-07-21,607.59
2022-07-22,614.31
2022-07-25,616.48
2022-07-26,616.03
2022-07-27,616.4
2022-07-28,617.08
2022-07-29,618.24
2022-08-01,618.73
2022-08-02,618.87
2022-08-03,618.05
2022-08-04,618.25
2022-08-05,617.87
2022-08-08,618.17
2022-08-09,618.43
2022-08-10,617.73
2022-08-11,615.88
2022-08-12,613.88
2022-08-15,615.54
2022-08-16,616.25
2022-08-17,617.05
2022-08-18,617.37
2022-08-19,616.51
2022-08-22,615.68
2022-08-23,615.61
2022-08-24,615.17
2022-08-25,616.3
2022-08-26,616.59
2022-08-29,616.94
2022-08-30,617.35
2022-08-31,616.73
2022-09-01,617.48
2022-09-02,619.0
2022-09-05,621.39
2022-09-06,622.47
2022-09-07,622.52
2022-09-08,621.78
2022-09-09,620.96
2022-09-12,621.98
2022-09-13,620.96
2022-09-14,621.15
2022-09-15,621.97
2022-09-16,622.12
2022-09-19,615.18
2022-09-20,608.01
2022-09-21,595.48
2022-09-22,599.17
2022-09-23,592.29
2022-09-26,579.52
2022-09-27,590.56
2022-09-28,589.89
2022-09-29,582.97
2022-09-30,579.01
2022-10-03,584.8
2022-10-04,591.63
2022-10-05,591.56
2022-10-06,593.85
2022-10-07,593.17
2022-10-10,588.89
2022-10-11,593.37
2022-10-12,595.51
2022-10-13,596.48
2022-10-14,597.44
2022-10-17,599.87
2022-10-18,600.91
2022-10-19,600.89
2022-10-20,602.34
2022-10-21,603.98
2022-10-24,605.33
2022-10-25,605.35
2022-10-26,605.21
2022-10-27,604.38
2022-10-28,604.32
2022-10-31,603.16
2022-11-01,603.03
2022-11-02,600.37
2022-11-03,600.5
2022-11-07,601.45
2022-11-08,598.92
2022-11-09,598.02
2022-11-10,600.39
2022-11-11,601.42
2022-11-14,601.59
2022-11-15,601.87
2022-11-16,603.56
2022-11-17,606.72
2022-11-18,606.84
2022-11-21,607.0
2022-11-22,606.08
2022-11-23,606.4
2022-11-24,607.75
2022-11-25,608.2
2022-11-28,608.78
2022-11-29,608.76
2022-11-30,608.71
2022-12-01,608.52
2022-12-02,608.29
2022-12-05,607.68
2022-12-06,607.52
2022-12-07,607.74
2022-12-08,608.98
2022-12-09,609.57
2022-12-12,609.79
2022-12-13,610.63
2022-12-14,611.0
2022-12-15,610.67
2022-12-16,610.86
2022-12-19,609.52
2022-12-20,608.81
2022-12-21,608.67
2022-12-22,609.59
2022-12-23,609.9
2022-12-26,610.55
